iter	RMSE
0	0.1524463108
1	0.1400240602
2	0.129018189
3	0.1192655333
4	0.1106913028
5	0.1031994088
6	0.09661829313
7	0.09076200492
8	0.08580170488
9	0.08140238039
10	0.07757884949
11	0.0743150699
12	0.07151983125
13	0.06922085763
14	0.06723123558
15	0.06550883544
16	0.06407752913
17	0.06287984139
18	0.06187527912
19	0.06103218183
20	0.06032424624
21	0.05974211731
22	0.05925845681
23	0.05885309355
24	0.05851459503
25	0.05823195576
26	0.05800722715
27	0.0578079187
28	0.05764516891
29	0.05751460157
30	0.05739648589
31	0.05729126932
32	0.05720923021
33	0.05714119218
34	0.05708348315
35	0.05702633233
36	0.05697897996
37	0.05694006355
38	0.05690212579
39	0.05687391571
40	0.0568448577
41	0.05681781908
42	0.05679396442
43	0.0567719107
44	0.05675625011
45	0.05673518901
46	0.05671565889
47	0.05670301026
48	0.05669074475
49	0.05667357254
50	0.05666021777
51	0.05664720355
52	0.05663764299
53	0.05662484014
54	0.05661536566
55	0.05660249975
56	0.05659525306
57	0.05658758237
58	0.05657847475
59	0.0565676053
60	0.05656233424
61	0.05655851157
62	0.05655011694
63	0.05654732604
64	0.05653842182
65	0.05653757337
66	0.05652837372
67	0.05652100504
68	0.05651828204
69	0.05651318723
70	0.05650929644
71	0.0565060776
72	0.05649705407
73	0.0564867045
74	0.05648359724
75	0.05647979377
76	0.05647445223
77	0.05646999482
78	0.05646575742
79	0.05646054581
80	0.05645698384
81	0.05645436008
82	0.05644989319
83	0.05644489665
84	0.05644142931
85	0.05643950002
86	0.05643678975
87	0.05643317619
88	0.05642974692
89	0.0564288135
90	0.05642553478
91	0.05642249062
92	0.05641948512
93	0.05641337392
94	0.05640979265
95	0.05640577127
96	0.05639989035
97	0.05639542065
98	0.05639515027
99	0.05639360109
100	0.05638993592
101	0.05638828053
102	0.05638582551
103	0.05638371408
104	0.05638258196
105	0.05637930754
106	0.05637738192
107	0.05637589228
108	0.0563723086
109	0.05637116379
110	0.05636898681
111	0.05636629614
112	0.05636433714
113	0.05636259779
114	0.05635986327
115	0.05635429445
116	0.05634941356
117	0.0563449032
118	0.05634281644
119	0.05633926022
120	0.05633710565
121	0.05633464544
122	0.0563310541
123	0.05632881279
124	0.05632722373
125	0.05632473326
126	0.05632313103
127	0.05632084803
128	0.05631804562
129	0.05631526858
130	0.05631322076
131	0.05631171169
132	0.05630891482
133	0.05630561704
134	0.05630420097
135	0.05630182282
136	0.05630028157
137	0.05629751224
138	0.05629314147
139	0.0562894061
140	0.05628667153
141	0.0562851408
142	0.05628156073
143	0.05627899336
144	0.05627570259
145	0.05627066745
146	0.05626893569
147	0.05626779118
148	0.0562668342
149	0.05626408434
150	0.05625911489
151	0.05625639427
152	0.05625441852
153	0.05625127528
154	0.05624801979
155	0.05624628855
156	0.05624346788
157	0.05624100491
158	0.05623808815
159	0.05623607638
160	0.05623459995
161	0.05623256479
162	0.05622977846
163	0.05622761079
164	0.05622444346
165	0.05622317312
166	0.05621915892
167	0.05621803189
168	0.05621635903
169	0.05621420827
170	0.05621150066
171	0.05620917867
172	0.05620762235
173	0.05620643356
174	0.05620474423
175	0.05620152192
176	0.0561996061
177	0.05619739601
178	0.05619642218
179	0.05619407425
180	0.05619250478
181	0.05619170434
182	0.05618853191
183	0.0561878867
184	0.05618636342
185	0.05618431971
186	0.05618174783
187	0.05618025133
188	0.05617819006
189	0.05617661984
190	0.05617499083
191	0.05617364446
192	0.05617270832
193	0.05617002043
194	0.05616767611
195	0.05616613742
196	0.05616490136
197	0.05616352173
198	0.05616200912
199	0.05616095035
200	0.05615993
201	0.05615834565
202	0.05615729388
203	0.05615539091
204	0.05615343948
205	0.0561518851
206	0.05615028437
207	0.05614913552
208	0.05614786856
209	0.05614650208
210	0.05614483655
211	0.05614344276
212	0.0561424093
213	0.05614075254
214	0.0561392314
215	0.05613708553
216	0.05613555351
217	0.05613410514
218	0.05613287573
219	0.05613159166
220	0.05613051517
221	0.05612811687
222	0.05612645492
223	0.05612475984
224	0.05612344409
225	0.05612233074
226	0.0561211679
227	0.05611844321
228	0.05611786635
229	0.0561171101
230	0.05611547014
231	0.05611484691
232	0.05611325494
233	0.05611173027
234	0.0561095271
235	0.05610767628
236	0.05610657667
237	0.05610502569
238	0.05610397444
239	0.05610281038
240	0.05610165152
241	0.0561001329
242	0.05609856455
243	0.05609646372
244	0.05609569344
245	0.05609438701
246	0.05609241735
247	0.05609186199
248	0.05609107562
249	0.05608952384
250	0.05608889298
251	0.0560884929
252	0.05608743047
253	0.05608617329
254	0.05608463301
255	0.05608314225
256	0.05608254796
257	0.05608153955
258	0.05608090551
259	0.0560800159
260	0.05607963534
261	0.05607808657
262	0.05607675813
263	0.0560757659
264	0.05607484731
265	0.05607311783
266	0.05607209043
267	0.05607131592
268	0.05607026976
269	0.05606904338
270	0.05606775993
271	0.05606703262
272	0.05606619819
273	0.05606515615
274	0.05606362348
275	0.05606224875
276	0.0560599222
277	0.05605898291
278	0.05605783528
279	0.05605658938
280	0.05605591959
281	0.05605565755
282	0.05605430548
283	0.05605337828
284	0.05605228874
285	0.0560511688
286	0.05604975859
287	0.05604898428
288	0.05604796231
289	0.05604715638
290	0.05604568391
291	0.05604545749
292	0.05604437562
293	0.05604329957
294	0.05604255557
295	0.05604115448
296	0.05604021295
297	0.05603896534
298	0.05603712579
299	0.05603645142
